date,VIS@KAU.M,VISUS@KAU.M,VISUSW@KAU.M,VISUSE@KAU.M,VISJP@KAU.M,VISRES@KAU.M,VLOS@KAU.M,VDAY@KAU.M,PRM@KAU.M,OCUP%@KAU.M,RMRV@KAU.M,VEXP@KAU.M
1989-01-01,,,,,,,,,89.68887506839148,73.60682566204942,,
1989-02-01,,,,,,,,,91.14610790931394,73.38974441352676,,
1989-03-01,,,,,,,,,92.09496101613571,73.71444971144918,,
1989-04-01,,,,,,,,,93.86233823757136,71.3584407128124,,
1989-05-01,,,,,,,,,94.93267156298127,68.79842223294341,,
1989-06-01,,,,,,,,,94.21084835256704,72.3017880541349,,
1989-07-01,,,,,,,,,93.44330320778079,71.68792058158051,,
1989-08-01,,,,,,,,,92.56436986794331,71.35048795640627,,
1989-09-01,,,,,,,,,90.40394837199482,69.92742144531151,,
1989-10-01,,,,,,,,,89.96996226994607,67.92968617613563,,
1989-11-01,,,,,,,,,90.22479791770724,68.15093784796947,,
1989-12-01,,,,,,,,,93.04781621766712,70.8838752056807,,
1990-01-01,103.61130904338084,83.24865908683395,,,,,,,95.90094069585784,69.1499414788422,,
1990-02-01,101.0713448189921,81.89276225487247,,,,,,,93.15873552600883,70.00230743392326,,
1990-03-01,98.7734135401569,82.6376104246093,,,,,,,90.73499896237747,69.32748222545871,,
1990-04-01,103.93320633193599,87.10890705314272,,,,,,,91.10170464915683,70.1484200476697,,
1990-05-01,101.53209551051052,83.8012341889807,,,,,,,89.93433870966575,68.76717772223242,,
1990-06-01,103.50072669550875,83.30993215090119,,,,,,,91.14790865010922,66.21701656857665,,
1990-07-01,105.87096073031186,86.15838504837937,,,,,,,91.27223023471643,68.03472109402378,,
1990-08-01,106.20821458473645,84.94455707427053,,,,,,,91.18166365568241,66.94124333427844,,
1990-09-01,97.99677373003314,79.96123089043559,,,,,,,91.06182811895829,65.79165875471091,,
1990-10-01,102.26709044983909,80.35809365595411,,,,,,,92.61857897977623,65.94717243201211,,
1990-11-01,102.71655992252306,80.22868283075681,,,,,,,93.407239123242,65.09399584198167,,
1990-12-01,101.36784797476884,78.37354534086332,,,,,,,92.79983269444892,61.67886306629018,,
1991-01-01,96.67385823659008,76.9236924167713,,,10.890642502789607,8.859523317029177,,,95.13595992201704,60.915984160216055,,
1991-02-01,82.71971497811435,68.69190835187752,,,5.817819831716506,8.20998679452033,,,90.7706077808526,50.733328273236474,,
1991-03-01,93.9225567287927,77.55222572200665,,,6.058130025192553,10.312200981593497,,,93.12250632762753,52.998655258076184,,
1991-04-01,98.16980020320928,81.00167282049033,,,8.47502067451189,8.693106708207049,,,90.94081608527294,61.976197846218966,,
1991-05-01,101.02080924865845,82.42042436705077,,,9.04879912172048,9.551585759887196,,,93.7211775345444,62.04441752059708,,
1991-06-01,101.3692232904218,82.24485571848041,,,9.901143612661864,9.223223959279517,,,94.6189927875033,65.83410039980848,,
1991-07-01,106.27817128247592,86.85963034620845,,,10.891314094463572,8.527226841803909,,,99.53339839748725,66.34351501209646,,
1991-08-01,108.02767797487653,90.77026397314067,,,9.738142242814067,7.519271758921788,,,96.67291047380296,65.52730781761106,,
1991-09-01,102.96951210468089,83.61465509842506,,,9.60947282358628,9.745384182669534,,,96.4390283521532,65.70759834109461,,
1991-10-01,98.28989491295063,78.66084754466532,,,8.552392277179797,11.076655091105517,,,98.23428841277334,61.34206861576962,,
1991-11-01,93.91926613327678,72.9598967698842,,,9.427614540759322,11.531754822633255,,,98.98501134065773,62.01714755175302,,
1991-12-01,98.96584559442073,79.2456268709992,,,8.739508252604056,10.980710470817467,,,102.61530258530762,63.85967920352218,,
1992-01-01,91.44181852569056,68.22872577463349,,,9.384892151173553,13.828200599883536,5.193459847357824,474.8994128825547,104.50257005059136,62.571689288771516,,
1992-02-01,91.4103442977833,67.499397619156,,,9.873920550239413,14.037026128387874,5.0741540423405755,463.8301680303409,104.71800804171245,62.716078208640205,,
1992-03-01,88.31240879933398,65.64359546966125,,,8.677776692305535,13.991036637367191,5.050719511857836,446.04120626196175,100.93719681299596,59.620198316075076,,
1992-04-01,86.70399853113852,65.03276640550055,,,8.425846895451643,13.245385230186331,5.311679071967066,460.5438144537117,95.80533902884767,63.686062203496725,,
1992-05-01,81.07909487080819,59.98331530867349,,,9.225481082035914,11.870298480098786,5.690077945920436,461.3463695995764,91.9427709870503,65.7864270883899,,
1992-06-01,76.63413006084376,57.273059279296376,,,8.559755752290194,10.801315029257195,6.058651410276165,464.29948016841814,90.7034393306894,65.47946882969495,,
1992-07-01,69.14080544854271,51.420206813364416,,,8.275920131887116,9.444678503291176,6.297767974150318,435.4327502607901,86.70212527394908,67.36517946399542,,
1992-08-01,64.29560117351292,47.156594605843296,,,8.877539204293406,8.261467363376212,6.317188102965715,406.1674068063443,83.08770570628076,69.4926347303553,,
1992-09-01,65.46631756096973,48.1416028497783,,,9.576150970231739,7.748563740959685,6.177104048957692,404.3922552762162,79.12851604516632,78.47869547179056,,
1992-10-01,60.86365849345139,44.16127450979717,,,9.858525884516792,6.843858099137431,6.168463220443186,375.4352388784695,73.55754381624891,79.77314596988192,,
1992-11-01,55.54329255250873,40.05152146626603,,,9.31361651345771,6.178154572784987,6.155433906867218,341.8930662767577,71.6890485384884,81.14443765277451,,
1992-12-01,50.838872523132174,36.05233989802952,,,9.570574172116983,5.2159584529856655,6.063552824948954,308.26418910485785,67.39573636797954,79.38598277613386,,
