date,E_NF@KAU.M,ECT@KAU.M,EMN@KAU.M,E_TTU@KAU.M,E_TU@KAU.M,E_TRADE@KAU.M,ERT@KAU.M,EWT@KAU.M,EIF@KAU.M,E_FIR@KAU.M,EFI@KAU.M,ERE@KAU.M,E_PBS@KAU.M,EPS@KAU.M,EMA@KAU.M,EAD@KAU.M,E_EDHC@KAU.M,EED@KAU.M,EHC@KAU.M,E_LH@KAU.M,EAE@KAU.M,EAF@KAU.M,EOS@KAU.M,EGV@KAU.M,EGVFD@KAU.M,E_GVSL@KAU.M,EMPL@KAU.M,UR@KAU.M
2002-02-01,25.77122959779417,1.2143315165117028,0.4253694581280788,5.546708194455153,1.4534460954789767,4.093262098976177,3.6985412867934357,0.394720812182741,0.45053301580935345,1.190363220595286,0.399157894736842,0.791205325858444,2.4042445091175315,0.5165127020785221,0.12653061224489787,1.7612011947941117,2.1997136498068057,0.1690721649484536,2.0306414848583523,7.462953215730644,0.8882711348057882,6.574682080924855,0.6693037974683544,4.207709020171261,0.4101032047800109,3.7976058153912495,27837.88537673976,5.517988825928333
2002-03-01,25.841707748548778,1.2289034947098432,0.4253694581280788,5.5433294261898345,1.4534460954789763,4.089883330710858,3.692725970304767,0.39715736040609134,0.44598069901130916,1.197125659277837,0.399157894736842,0.7979677645409949,2.4133936652289276,0.5189376443418015,0.1285076530612244,1.7659483678259018,2.1997136498068057,0.1690721649484536,2.0306414848583523,7.493820267753764,0.8882711348057882,6.605549132947976,0.6721518987341774,4.221919529708198,0.41281912004345467,3.809100409664743,28012.168716372544,5.245208770147536
2002-04-01,25.807712959130477,1.2386181468419368,0.4118226600985222,5.577814214117321,1.4646696174517873,4.113144596665534,3.7159872362594424,0.39715736040609134,0.44014749180494767,1.197125659277837,0.399157894736842,0.7979677645409949,2.460968107041597,0.5237875288683604,0.1285076530612244,1.8086729251120124,2.2131382146026293,0.17048109965635735,2.042657114946272,7.540120845788447,0.8882711348057882,6.651849710982659,0.6721518987341774,4.05580572082306,0.4114611624117328,3.644344558411327,28660.098295809647,4.846942396109489
2002-05-01,26.076967375611737,1.2434754729079838,0.4118226600985222,5.589241291592396,1.4702813784381923,4.118959913154203,3.7218025527481116,0.39715736040609134,0.4325276510836287,1.197125659277837,0.399157894736842,0.7979677645409949,2.4895538567271065,0.5286374133949193,0.1285076530612244,1.8324087902709627,2.218552359339839,0.17189003436426115,2.046662324975578,7.586853937283458,0.8964204112718964,6.690433526011561,0.6721518987341774,4.235662588566791,0.4101032047800109,3.8255593837867807,28374.471171146954,4.982013462551671
2002-06-01,26.352017535494102,1.2677621032382178,0.41453201970443354,5.603104917290819,1.4758931394245975,4.127211777866222,3.7276178692367803,0.39959390862944155,0.4272532431068534,1.197125659277837,0.399157894736842,0.7979677645409949,2.522681356454868,0.5237875288683604,0.1285076530612244,1.870386174525283,2.2237449099826443,0.1690721649484536,2.054672745034191,7.6331545153181395,0.8964204112718964,6.736734104046243,0.6721518987341774,4.390506912386112,0.41281912004345467,3.977687792342657,28371.394023842822,4.308588900651788
2002-07-01,26.231603496806763,1.2774767553703112,0.40911330049261085,5.6344144924552495,1.4815049004110021,4.152909592044248,3.750879135191456,0.4020304568527918,0.43050255679120575,1.2064144137498614,0.4016842105263157,0.8047302032235457,2.5365776855980537,0.5262124711316398,0.1304846938775509,1.8798805205888631,2.2303463953333535,0.16766323024054983,2.0626831650928037,7.594570700289237,0.8964204112718964,6.698150289017341,0.6778481012658228,4.234339095461051,0.41417707767517653,3.820162017785874,29237.84826241548,4.093721368719949
2002-08-01,26.19265355271967,1.282334081436358,0.4064039408866995,5.631570833227373,1.4927284223838135,4.1388424108435595,3.739248502214118,0.39959390862944155,0.4295855212508233,1.1996519750673107,0.40168421052631564,0.7979677645409949,2.5603135507570043,0.5262124711316398,0.1304846938775509,1.9036163857478134,2.2157344899240314,0.1690721649484536,2.046662324975578,7.570555384351241,0.8801218583396802,6.690433526011561,0.675,4.221503775818825,0.41553503530689845,3.805968740511927,29229.070246081417,3.9937569817633745
2002-09-01,26.279194246789473,1.282334081436358,0.4036945812807882,5.625755516738704,1.492728422383813,4.133027094354891,3.7334331857254495,0.39959390862944155,0.4573820397359472,1.2064144137498614,0.4016842105263157,0.8047302032235457,2.569807896820584,0.5262124711316398,0.1304846938775508,1.9131107318113931,2.2385784094863714,0.17189003436426115,2.0666883751221103,7.586421423823129,0.8882711348057882,6.698150289017341,0.6778481012658228,4.230957782451907,0.4168929929386203,3.8140647895132864,29051.126504458796,3.8442142738529084
2002-10-01,26.312784167680487,1.2969060596344986,0.4036945812807882,5.6418521351582145,1.503951944356623,4.1379001908015915,3.7334331857254495,0.4044670050761421,0.4256020116640251,1.2174129753254892,0.39915789473684193,0.8182550805886474,2.5699106083153533,0.5310623556581987,0.1304846938775509,1.9083635587796037,2.2425836195156776,0.17189003436426115,2.0706935851514165,7.595003213749566,0.9045696877380045,6.690433526011561,0.6806962025316456,4.239122760505229,0.42775665399239543,3.8113661065128333,28914.445792327555,3.9707779258486897
2002-11-01,26.292150304985974,1.311478037832639,0.4036945812807882,5.618387313701276,1.5095637053430295,4.108823608358247,3.704356603282105,0.4044670050761421,0.4228701729802682,1.2267017297975138,0.4016842105263157,0.8250175192711982,2.5509219161881926,0.5310623556581987,0.13048469387755093,1.889374866652443,2.2494066989607915,0.1747079037800687,2.0746987951807228,7.641303791784248,0.9045696877380045,6.736734104046243,0.6778481012658228,4.189537961194431,0.42911461162411735,3.760423349570314,28855.964735265534,3.841548034304365
