date,Rev - Total ($THOU),Rev - Taxes ($THOU),Rev - Licenses and Permits ($THOU),Rev - Rents and Concessions ($THOU),Rev - Interest ($THOU),Rev - Intergov'tal ($THOU),Rev - Chrgs for Current Svc ($THOU),Rev - Bond Subsidy ($THOU),Rev - Misc ($THOU),Expenditures - Total ($THOU),Expenditures - Gen Gov't ($THOU),Expenditures - Pub Safety ($THOU),Expenditures - Pub Works ($THOU),Expenditures - Hwys and Streets ($THOU),Expenditures - Sanitation ($THOU),Expenditures - Culture and Rec ($THOU),Expenditures - Pub Welfare ($THOU),Expenditures - Cap ($THOU),Expenditures - Debt Svc ($THOU)
1993-01-01,109505.091,36672.036,2732.438,961.67,1796.896,64891.62,1103.56,0,1346.871,114877.655,53701.439,13156.127,3155.068,5090.681,2444.778,2876.834,9492.882,18456.551,6503.295
1994-01-01,111090.8,32129.64,2786.726,1019.091,1525.985,70470.925,1512.86,0,1645.573,125062.872,58283.249,14867.312,3318.48,5261.488,1987.715,2779.795,15581.221,16919.52,6064.092
1995-01-01,121545.767,31453.905,2776.402,863.384,2420.061,79247.314,1506.385,0,3278.316,137241.061,48204.518,14833.32,3652.238,5002.667,1601.267,2924.884,17156.397,38110.927,5754.843
1996-01-01,111116.717,35078.318,2596.002,877.715,1347.417,67046.656,1497.673,0,2672.936,116393.706,41462.921,14492.142,3520.133,5322.564,3453.566,3029.016,27428.42,12065.471,5619.473
1997-01-01,86948.112,37020.795,2732.176,539.9,938.464,41884.629,2267.013,0,1565.135,88358.517,31556.913,14918.834,3814.145,5356.443,3839.029,2870.988,12144.478,10269.099,3588.588
1998-01-01,80800.897,36088.974,2794.725,587.944,927.949,35729.766,2643.577,0,2027.962,82155.395,21732.41,15825.352,3761.002,5322.342,5195.393,3051.753,18980.09,4986.6,3300.453
1999-01-01,85799.034,36509.455,3028.165,614.554,1278.027,33629.531,2599.937,0,8139.365,85324.876,23926.435,17192.372,4413.839,5755.249,4864.358,3793.496,15442.507,6227.402,3709.218
2000-01-01,86263.275,40955.507,3799.222,609.456,2152.612,35223.602,2872.279,0,650.597,84851.359,17015.101,17457.817,3991.561,6404.313,4657.351,3617.909,15948.559,10289.092,5469.656
2001-01-01,86300.375,43501.111,4663.591,629.748,3112.606,30398.453,3141.315,0,853.551,84131.044,18706.269,18731.088,4252.186,6464.385,5585.471,3307.763,10726.565,11010.019,5347.298
2002-01-01,92290.992,46265.892,4974.79,591.484,2070.987,34100.246,2915.628,0,1371.965,107213.494,22587.568,21111.419,4241.775,7091.524,6204.468,3559.49,11686.067,24467.94,6263.243
2003-01-01,99656.024,50739.387,5561.473,631.226,1410.032,37611.547,3296.678,0,405.681,103105.264,21740.154,21759.541,4475.086,7265.14,6687.899,4234.26,13926.744,16620.294,6396.146
2004-01-01,99863.779,57059.953,5715.27,678.856,632.893,31357.544,3626.818,0,792.445,100012.502,22822.99,23501.535,4789.243,9491.32,6625.259,3041.644,14027.512,9322.449,6390.55
2005-01-01,108529.654,65097.085,6676.668,688.157,1112.531,29974.804,3397.989,0,1582.42,102060.138,27676.903,23547.233,5636.246,7797.896,8652.469,4458.174,11797.77,6108.687,6384.76
2006-01-01,136990.125,78674.763,6779.523,737.189,3353.862,41358.98,4110.561,0,1975.247,124088.089,30938.083,24978.616,6989.82,12942.12,9586.216,3471.439,14888.594,14319.976,5973.225
2007-01-01,160228,90913,6948,713,5012,49506,4202,0,2934,141571,35358,27122,6881,12298,10315,4288,16491,20299,8519
2008-01-01,161746,98572,7975,727,5836,41291,4911,0,2434,144895,33461,32894,9468,11273,9773,7839,15637,17523,7027
2009-01-01,167312,105140,8253,956,3009,44764,4424,0,766,167160,37371,35613,8727,15312,9834,8223,22375,21342,8363
2010-01-01,160325,102425,7400,907,4896,37214,4366,0,3117,166876,26682,43607,11232,10089,12313,9715,19957,24597,8684
2011-01-01,156790,94343,6847,913,2708,43780,5583,0,1642,176023,28285,47547,16395,13146,11385,8252,20192,18109,11712
2012-01-01,157494,93470,6778,639,1379,44799,8591,1138.179,720,186076,29850,48153,10454,11965,17928,9852,19758,27733,10383
2013-01-01,163583,95035,7132,649,297,46802,9220,1138.179,3310,186803,32943,49049,9699,15037,13087,9500,22018,25916,9554
2014-01-01,169995,107410,7878,488,1347,41126,9877,,824,189966,29342,52225,10146,16537,13554,11548,21980,22567,12067
2015-01-01,187960,120492,9953,488,933,42308,11567,,1177,188039,33921,55961,10275,14144,16282,10512,18924,15890,12130
2016-01-01,193027,126945,10952,500,1665,38715,11788,,1433,192172,30858,60219,10173,15352,16086,10465,19476,18012,11531
2017-01-01,203983,133065,10582,486,355,45231,12029,,1220,202984,32313,64135,4812,12095,15566,16642,22790,22484,12147
